sec,loop_ticks,write_ticks
1788823036,92,7
1788823037,93,8
1788823038,98,11
1788823039,96,9
1788823040,97,10
1788823041,98,7
1788823042,95,9
1788823043,92,5
1788823044,99,13
1788823045,100,13
1788823046,100,14
1788823047,99,13
1788823048,101,10
1788823049,103,16
1788823050,98,11
1788823051,100,12
1788823052,99,12
1788823053,91,6
1788823054,101,13
1788823055,103,10
1788823056,92,6
1788823057,96,9
1788823058,97,10
1788823059,95,8
1788823060,95,8
1788823061,95,8
1788823062,100,12
1788823063,95,12
1788823064,102,15
1788823065,96,10
1788823066,97,11
1788823067,99,12
1788823068,94,8
1788823069,95,8
1788823070,97,11
1788823071,96,10
1788823072,98,12
1788823073,95,11
1788823074,103,11
1788823075,97,11
1788823076,96,11
1788823077,105,11
1788823078,97,10
1788823079,93,10
1788823080,92,6
1788823081,95,10
1788823082,93,6
1788823083,91,5
1788823084,92,6
1788823085,102,16
1788823086,97,12
1788823087,97,14
1788823088,95,9
1788823089,91,5
1788823090,92,6
1788823091,110,20
1788823092,116,30
1788823093,88,5
1788823094,107,22
1788823095,103,16
1788823096,98,11
1788823097,106,20
1788823098,98,13
1788823099,104,16
1788823100,104,17
1788823101,103,17
1788823102,113,20
1788823103,96,12
1788823104,93,6
1788823105,102,15
1788823106,100,14
1788823107,99,13
1788823108,92,5
1788823109,93,6
1788823110,97,11
1788823111,101,13
1788823112,99,13
1788823113,95,7
1788823114,92,6
1788823115,95,7
1788823116,94,6
1788823117,92,6
1788823118,102,11
1788823119,99,10
1788823120,93,6
1788823121,91,5
1788823122,92,6
1788823123,91,5
1788823124,97,10
1788823125,108,20
1788823126,129,44
1788823127,105,18
1788823128,92,10
1788823129,96,10
1788823130,94,6
1788823131,93,7
1788823132,92,5
1788823133,100,13
1788823134,104,14
1788823135,97,10
1788823136,98,10
1788823137,98,12
1788823138,102,13
1788823139,97,11
1788823140,100,14
1788823141,95,9
1788823142,100,14
1788823143,101,14
1788823144,91,6
1788823145,100,13
1788823146,120,34
1788823147,106,19
1788823148,117,31
1788823149,98,11
1788823150,98,10
1788823151,119,29
1788823152,105,10
1788823153,94,7
1788823154,93,6
1788823155,97,10
1788823156,98,13
1788823157,97,10
1788823158,96,10
1788823159,98,11
1788823160,97,11
1788823161,92,6
1788823162,103,10
1788823163,100,13
1788823164,121,34
1788823165,125,37
1788823166,101,11
1788823167,104,12
1788823168,97,10
1788823169,97,10
1788823170,99,11
1788823171,99,12
1788823172,104,13
1788823173,97,10
1788823174,99,12
1788823175,97,11
1788823176,98,8
1788823177,93,6
1788823178,110,12
1788823179,126,40
1788823180,102,15
1788823181,102,14
1788823182,102,14
1788823183,98,11
1788823184,92,7
1788823185,98,11
1788823186,98,11
1788823187,94,8
1788823188,93,6
1788823189,96,8
1788823190,117,22
1788823191,102,15
1788823192,100,13
1788823193,102,10
1788823194,92,6
1788823195,94,6
1788823196,90,5
1788823197,93,6
1788823198,98,12
1788823199,97,10
1788823200,94,7
1788823201,98,10
1788823202,92,7
1788823203,92,6
1788823204,102,11
1788823205,100,14
1788823206,102,15
1788823207,98,12
1788823208,98,11
1788823209,87,4
1788823210,91,6
1788823211,103,17
1788823212,111,23
1788823213,90,5
1788823214,97,11
1788823215,97,10
1788823216,91,7
1788823217,96,10
1788823218,93,7
1788823219,90,4
1788823220,92,6
1788823221,90,4
1788823222,99,13
1788823223,98,11
1788823224,92,6
1788823225,99,12
1788823226,97,10
1788823227,90,4
1788823228,96,7
1788823229,93,7
1788823230,98,12
1788823231,235,75
1788823232,349,109
1788823233,285,115
1788823234,234,59
1788823235,217,59
1788823236,238,83
1788823237,265,94
1788823238,227,78
1788823239,236,75
1788823240,270,96
1788823241,231,88
1788823242,234,75
1788823243,256,77
1788823244,269,99
1788823245,217,79
1788823246,230,88
1788823247,261,84
1788823248,267,98
1788823249,249,79
1788823250,231,72
1788823251,222,70
1788823252,218,61
1788823253,197,73
1788823254,224,66
1788823255,237,80
1788823256,208,64
1788823257,227,71
1788823258,209,72
1788823259,202,64
1788823260,211,66
1788823261,197,65
1788823262,239,76
1788823263,171,51
1788823264,215,63
1788823265,168,73
1788823266,186,55
1788823267,239,73
1788823268,194,54
1788823269,228,67
1788823270,202,63
1788823271,255,106
1788823272,202,64
1788823273,214,79
1788823274,224,72
1788823275,194,74
1788823276,146,49
1788823277,201,68
1788823278,292,148
1788823279,262,73
1788823280,203,65
1788823281,264,98
1788823282,227,88
1788823283,167,39
1788823284,277,86
1788823285,181,82
1788823286,255,75
1788823287,228,67
1788823288,208,70
1788823289,224,73
1788823290,234,69
1788823291,219,72
1788823292,222,66
1788823293,231,75
1788823294,179,62
1788823295,298,103
1788823296,215,64
1788823297,270,102
1788823298,227,66
1788823299,176,56
1788823300,242,66
1788823301,198,62
1788823302,228,70
1788823303,216,69
1788823304,232,65
1788823305,227,81
1788823306,218,66
1788823307,239,58
1788823308,179,57
1788823309,237,76
1788823310,214,68
1788823311,235,84
1788823312,203,60
1788823313,240,84
1788823314,251,76
1788823315,237,72
1788823316,182,47
1788823317,213,67
1788823318,250,91
1788823319,187,53
1788823320,235,84
1788823321,226,76
1788823322,274,86
1788823323,273,102
1788823324,189,66
1788823325,201,76
1788823326,185,67
1788823327,215,79
1788823328,238,94
1788823329,191,62
1788823330,244,71
1788823331,250,101
1788823332,221,74
1788823333,213,75
1788823334,208,82
1788823335,205,70
1788823336,243,75
1788823337,209,81
1788823338,278,97
1788823339,182,49
1788823340,218,71
1788823341,202,66
1788823342,213,71
1788823343,302,122
1788823344,245,99
1788823345,253,95
1788823346,209,67
1788823347,225,52
1788823348,237,85
1788823349,251,80
1788823350,271,71
1788823351,207,64
1788823352,229,78
1788823353,238,60
1788823354,253,78
1788823355,326,133
1788823356,195,62
1788823357,247,70
1788823358,216,63
1788823359,271,85
1788823360,237,66
1788823361,300,114
1788823362,210,66
1788823363,194,50
1788823364,233,88
1788823365,243,65
1788823366,250,82
1788823367,217,72
1788823368,242,69
1788823369,167,50
1788823370,208,56
1788823371,225,72
1788823372,257,79
1788823373,243,78
1788823374,247,97
1788823375,214,68
1788823376,158,58
1788823377,226,75
1788823378,239,69
1788823379,224,75
1788823380,235,54
1788823381,216,88
1788823382,231,60
1788823383,217,70
1788823384,227,64
1788823385,253,56
1788823386,237,77
1788823387,195,58
1788823388,193,76
1788823389,196,48
1788823390,258,84
1788823391,248,79
1788823392,230,76
1788823393,212,72
1788823394,235,72
1788823395,225,74
1788823396,228,74
1788823397,148,47
1788823398,242,61
1788823399,171,55
1788823400,230,62
1788823401,172,41
1788823402,175,47
1788823403,203,63
1788823404,148,48
1788823405,173,41
1788823406,183,40
1788823407,175,45
1788823408,181,29
1788823409,175,60
1788823410,268,106
1788823411,214,68
1788823412,203,60
1788823413,205,70
1788823414,213,68
1788823415,128,38
1788823416,231,44
1788823417,203,67
1788823418,229,77
1788823419,206,58
1788823420,191,67
1788823421,181,60
1788823422,216,79
1788823423,213,55
1788823424,157,57
1788823425,195,65
1788823426,220,68
1788823427,212,91
1788823428,215,62
1788823429,220,88
1788823430,164,54
1788823431,231,68
1788823432,218,63
1788823433,249,69
1788823434,170,46
1788823435,232,93
1788823436,205,48
1788823437,173,47
1788823438,187,48
1788823439,236,78
1788823440,188,49
1788823441,206,53
1788823442,239,67
1788823443,225,53
1788823444,197,59
1788823445,177,68
1788823446,221,63
1788823447,123,36
1788823448,167,68
1788823449,224,99
1788823450,219,71
1788823451,240,94
1788823452,207,69
1788823453,177,56
1788823454,263,111
1788823455,247,94
1788823456,233,96
1788823457,193,63
1788823458,192,63
