trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788042084.000000883, sequence: 9351 - clear  0.000000000, sequence: 0
source 0 - assert 1788042085.000000432, sequence: 9352 - clear  0.000000000, sequence: 0
source 0 - assert 1788042086.000000336, sequence: 9353 - clear  0.000000000, sequence: 0
source 0 - assert 1788042086.999999729, sequence: 9354 - clear  0.000000000, sequence: 0
source 0 - assert 1788042088.000000242, sequence: 9355 - clear  0.000000000, sequence: 0
source 0 - assert 1788042088.999999903, sequence: 9356 - clear  0.000000000, sequence: 0
source 0 - assert 1788042090.000000028, sequence: 9357 - clear  0.000000000, sequence: 0
source 0 - assert 1788042091.000000336, sequence: 9358 - clear  0.000000000, sequence: 0
source 0 - assert 1788042091.999999662, sequence: 9359 - clear  0.000000000, sequence: 0
source 0 - assert 1788042092.999999812, sequence: 9360 - clear  0.000000000, sequence: 0
source 0 - assert 1788042093.999999700, sequence: 9361 - clear  0.000000000, sequence: 0
source 0 - assert 1788042094.999999947, sequence: 9362 - clear  0.000000000, sequence: 0
source 0 - assert 1788042095.999999404, sequence: 9363 - clear  0.000000000, sequence: 0
source 0 - assert 1788042096.999999665, sequence: 9364 - clear  0.000000000, sequence: 0
source 0 - assert 1788042097.999999688, sequence: 9365 - clear  0.000000000, sequence: 0
source 0 - assert 1788042098.999999628, sequence: 9366 - clear  0.000000000, sequence: 0
source 0 - assert 1788042099.999999591, sequence: 9367 - clear  0.000000000, sequence: 0
source 0 - assert 1788042100.999999951, sequence: 9368 - clear  0.000000000, sequence: 0
source 0 - assert 1788042101.999999893, sequence: 9369 - clear  0.000000000, sequence: 0
source 0 - assert 1788042103.000000050, sequence: 9370 - clear  0.000000000, sequence: 0
source 0 - assert 1788042103.999999614, sequence: 9371 - clear  0.000000000, sequence: 0
source 0 - assert 1788042105.000000091, sequence: 9372 - clear  0.000000000, sequence: 0
source 0 - assert 1788042106.000000061, sequence: 9373 - clear  0.000000000, sequence: 0
source 0 - assert 1788042106.999999668, sequence: 9374 - clear  0.000000000, sequence: 0
source 0 - assert 1788042107.999999794, sequence: 9375 - clear  0.000000000, sequence: 0
source 0 - assert 1788042109.000000328, sequence: 9376 - clear  0.000000000, sequence: 0
source 0 - assert 1788042110.000000102, sequence: 9377 - clear  0.000000000, sequence: 0
source 0 - assert 1788042110.999999730, sequence: 9378 - clear  0.000000000, sequence: 0
source 0 - assert 1788042112.000000079, sequence: 9379 - clear  0.000000000, sequence: 0
source 0 - assert 1788042112.999999892, sequence: 9380 - clear  0.000000000, sequence: 0
source 0 - assert 1788042113.999999998, sequence: 9381 - clear  0.000000000, sequence: 0
source 0 - assert 1788042115.000000138, sequence: 9382 - clear  0.000000000, sequence: 0
source 0 - assert 1788042116.000000537, sequence: 9383 - clear  0.000000000, sequence: 0
source 0 - assert 1788042117.000000010, sequence: 9384 - clear  0.000000000, sequence: 0
source 0 - assert 1788042118.000000185, sequence: 9385 - clear  0.000000000, sequence: 0
source 0 - assert 1788042119.000000488, sequence: 9386 - clear  0.000000000, sequence: 0
source 0 - assert 1788042120.000000660, sequence: 9387 - clear  0.000000000, sequence: 0
source 0 - assert 1788042121.000000370, sequence: 9388 - clear  0.000000000, sequence: 0
source 0 - assert 1788042122.000000294, sequence: 9389 - clear  0.000000000, sequence: 0
source 0 - assert 1788042123.000000407, sequence: 9390 - clear  0.000000000, sequence: 0
source 0 - assert 1788042124.000000149, sequence: 9391 - clear  0.000000000, sequence: 0
source 0 - assert 1788042125.000000036, sequence: 9392 - clear  0.000000000, sequence: 0
source 0 - assert 1788042126.000000233, sequence: 9393 - clear  0.000000000, sequence: 0
source 0 - assert 1788042126.999999993, sequence: 9394 - clear  0.000000000, sequence: 0
source 0 - assert 1788042128.000000011, sequence: 9395 - clear  0.000000000, sequence: 0
source 0 - assert 1788042129.000000030, sequence: 9396 - clear  0.000000000, sequence: 0
source 0 - assert 1788042130.000000333, sequence: 9397 - clear  0.000000000, sequence: 0
source 0 - assert 1788042130.999999868, sequence: 9398 - clear  0.000000000, sequence: 0
source 0 - assert 1788042132.000000680, sequence: 9399 - clear  0.000000000, sequence: 0
source 0 - assert 1788042132.999999714, sequence: 9400 - clear  0.000000000, sequence: 0
source 0 - assert 1788042134.000000174, sequence: 9401 - clear  0.000000000, sequence: 0
source 0 - assert 1788042134.999999986, sequence: 9402 - clear  0.000000000, sequence: 0
source 0 - assert 1788042135.999999872, sequence: 9403 - clear  0.000000000, sequence: 0
source 0 - assert 1788042137.000000202, sequence: 9404 - clear  0.000000000, sequence: 0
source 0 - assert 1788042137.999999901, sequence: 9405 - clear  0.000000000, sequence: 0
source 0 - assert 1788042138.999999654, sequence: 9406 - clear  0.000000000, sequence: 0
source 0 - assert 1788042139.999999796, sequence: 9407 - clear  0.000000000, sequence: 0
source 0 - assert 1788042141.000000271, sequence: 9408 - clear  0.000000000, sequence: 0
source 0 - assert 1788042141.999999655, sequence: 9409 - clear  0.000000000, sequence: 0
source 0 - assert 1788042142.999999671, sequence: 9410 - clear  0.000000000, sequence: 0
