trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788047016.000000014, sequence: 3531 - clear  0.000000000, sequence: 0
source 0 - assert 1788047016.999999997, sequence: 3532 - clear  0.000000000, sequence: 0
source 0 - assert 1788047018.000000016, sequence: 3533 - clear  0.000000000, sequence: 0
source 0 - assert 1788047018.999999999, sequence: 3534 - clear  0.000000000, sequence: 0
source 0 - assert 1788047020.000000001, sequence: 3535 - clear  0.000000000, sequence: 0
source 0 - assert 1788047021.000000002, sequence: 3536 - clear  0.000000000, sequence: 0
source 0 - assert 1788047022.000000022, sequence: 3537 - clear  0.000000000, sequence: 0
source 0 - assert 1788047023.000000005, sequence: 3538 - clear  0.000000000, sequence: 0
source 0 - assert 1788047023.999999987, sequence: 3539 - clear  0.000000000, sequence: 0
source 0 - assert 1788047025.000000007, sequence: 3540 - clear  0.000000000, sequence: 0
source 0 - assert 1788047026.000000008, sequence: 3541 - clear  0.000000000, sequence: 0
source 0 - assert 1788047027.000000010, sequence: 3542 - clear  0.000000000, sequence: 0
source 0 - assert 1788047027.999999992, sequence: 3543 - clear  0.000000000, sequence: 0
source 0 - assert 1788047028.999999993, sequence: 3544 - clear  0.000000000, sequence: 0
source 0 - assert 1788047030.000000032, sequence: 3545 - clear  0.000000000, sequence: 0
source 0 - assert 1788047031.000000015, sequence: 3546 - clear  0.000000000, sequence: 0
source 0 - assert 1788047032.000000016, sequence: 3547 - clear  0.000000000, sequence: 0
source 0 - assert 1788047033.000000017, sequence: 3548 - clear  0.000000000, sequence: 0
source 0 - assert 1788047034.000000000, sequence: 3549 - clear  0.000000000, sequence: 0
source 0 - assert 1788047034.999999982, sequence: 3550 - clear  0.000000000, sequence: 0
source 0 - assert 1788047036.000000002, sequence: 3551 - clear  0.000000000, sequence: 0
source 0 - assert 1788047037.000000003, sequence: 3552 - clear  0.000000000, sequence: 0
source 0 - assert 1788047037.999999986, sequence: 3553 - clear  0.000000000, sequence: 0
source 0 - assert 1788047038.999999987, sequence: 3554 - clear  0.000000000, sequence: 0
source 0 - assert 1788047040.000000007, sequence: 3555 - clear  0.000000000, sequence: 0
